date,num
2003-04-13,11
2003-05-06,11
2004-06-04,1
2004-10-04,1
2004-11-06,6
2004-12-25,6
2005-02-02,6
2005-02-07,2
2005-02-10,7
2005-03-11,2
2005-11-27,1
2006-01-27,2
2006-01-28,2
2006-01-29,29
2006-03-25,1
2006-04-01,1
2006-04-02,3
2006-04-30,1
2006-05-02,4
2006-05-03,5
2006-05-04,2
2006-05-23,10
2006-07-16,10
2006-07-17,6
2006-09-15,3
2006-10-01,1
2006-10-06,11
2006-11-04,2
2006-12-01,2
2007-01-01,10
2007-02-01,3
2007-02-02,11
2007-02-05,38
2007-02-13,2
2007-02-18,118
2007-02-19,15
2007-02-20,29
2007-02-21,1
2007-02-22,6
2007-02-23,2
2007-02-24,3
2007-02-25,9
2007-05-07,24
2007-05-13,1
2007-06-09,4
2007-07-22,32
2007-08-04,25
2007-10-01,4
2007-10-04,3
2007-10-05,6
2007-11-10,39
2007-11-11,39
2007-11-17,4
2007-12-22,15
2007-12-27,18
2008-01-01,12
2008-03-01,24
2008-03-04,2
2008-03-07,3
2008-03-08,1
2008-04-27,18
2008-05-13,2
2008-05-14,10
2008-05-15,16
2008-05-16,3
2008-05-17,10
2008-05-19,4
2008-05-22,1
2008-05-28,7
2008-06-03,1
2008-06-07,9
2008-06-08,16
2008-06-09,1
2008-06-24,1
2008-06-28,5
2008-07-01,3
2008-07-02,5
2008-07-04,9
2008-07-27,2
2008-07-28,7
2008-08-17,33
2008-08-18,24
2008-08-23,19
2008-09-02,1
2008-09-13,23
2008-09-28,17
2008-10-05,1
2008-10-07,1
2008-10-14,13
2008-10-16,1
2008-10-18,4
2008-10-19,10
2008-11-01,7
2008-11-22,3
2008-12-07,17
2008-12-08,6
2008-12-11,1
2008-12-14,8
2008-12-15,7
2008-12-18,3
2008-12-21,4
2009-01-01,1
2009-01-02,7
2009-01-10,40
2009-01-21,57
2009-01-22,51
2009-01-24,16
2009-01-28,1
2009-01-29,2
2009-01-30,27
2009-02-01,47
2009-02-04,1
2009-04-10,12
2009-04-15,3
2009-04-29,20
2009-05-04,4
2009-05-05,35
2009-05-11,1
2009-05-17,3
2009-05-23,3
2009-05-27,71
2009-06-10,22
2009-06-14,10
2009-06-23,110
2009-06-26,76
2009-06-27,2
2009-06-28,10
2009-07-12,59
2009-07-19,1
2009-07-22,7
2009-08-02,48
2009-08-06,1
2009-08-16,65
2009-08-17,301
2009-08-18,341
2009-08-19,147
2009-08-20,248
2009-08-21,444
2009-08-22,220
2009-08-23,3
2009-08-27,2
2009-08-28,116
2009-08-29,66
2009-08-30,16
2009-08-31,8
2009-09-02,14
2009-09-06,1
2009-09-08,1
2009-09-09,4
2009-09-10,2
2009-09-11,17
2009-09-14,6
2009-09-15,2
2009-09-16,38
2009-09-17,56
2009-09-18,217
2009-09-22,8
2009-09-23,1
2009-09-25,1
2009-09-26,13
2009-09-27,2
2009-10-01,1
2009-10-06,1
2009-10-08,2
2009-10-12,9
2009-10-13,6
2009-10-14,3
2009-10-15,163
2009-10-16,15
2009-10-17,3
2009-10-18,8
2009-10-19,2
2009-10-20,9
2009-10-22,10
2009-10-23,6
2009-10-30,45
2009-10-31,28
2009-11-02,7
2009-11-10,1
2009-11-12,15
2009-11-13,29
2009-11-16,1
2009-11-21,3
2009-11-25,3
2009-11-26,33
2009-11-28,1
2009-12-02,1
2009-12-03,6
2009-12-04,3
2009-12-08,1
2009-12-09,3
2009-12-10,5
2009-12-16,1
2009-12-18,13
2010-01-11,3
2010-01-12,16
2010-01-21,3
2010-01-28,2
2010-02-08,2
2010-02-11,3
2010-02-12,5
2010-02-15,11
2010-02-17,26
2010-02-18,8
2010-02-19,3
2010-02-28,39
2010-03-13,65
2010-04-18,1
2010-04-24,1
2010-04-26,1
2010-04-27,5
2010-04-28,10
2010-04-29,5
2010-04-30,1
2010-05-02,12
2010-05-03,8
2010-05-04,6
2010-05-07,1
2010-05-11,2
2010-05-12,1
2010-05-13,1
2010-05-19,1
2010-05-28,3
2010-06-02,13
2010-06-04,3
2010-06-14,3
2010-06-15,6
2010-06-16,1
2010-06-18,3
2010-06-22,4
2010-06-24,8
2010-06-27,7
2010-06-28,88
2010-07-05,1
2010-07-07,22
2010-07-08,11
2010-07-09,4
2010-07-13,3
2010-07-14,1
2010-07-15,13
2010-07-16,5
2010-07-17,20
2010-07-18,2
2010-07-21,23
2010-07-22,46
2010-07-26,29
2010-07-31,18
2010-08-01,15
2010-08-02,19
2010-08-05,1
2010-08-06,12
2010-08-07,36
2010-08-08,3
2010-08-09,5
2010-08-10,3
2010-08-11,1
2010-08-12,17
2010-08-14,37
2010-08-17,2
2010-08-22,1
2010-08-23,5
2010-09-01,9
2010-09-02,8
2010-09-06,3
2010-09-08,18
2010-09-09,8
2010-09-13,2
2010-09-14,3
2010-09-15,46
2010-09-16,4
2010-09-17,119
2010-09-20,1
2010-09-21,3
2010-09-25,16
2010-09-26,6
2010-09-27,3
2010-09-28,15
2010-09-29,14
2010-09-30,4
2010-10-01,16
2010-10-03,1
2010-10-04,2
2010-10-05,2
2010-10-06,1
2010-10-07,4
2010-10-08,26
2010-10-12,2
2010-10-15,9
2010-10-19,3
2010-10-25,2
2010-10-27,1
2010-10-28,1
2010-10-29,13
2010-11-05,7
2010-11-07,1
2010-11-10,3
2010-11-12,1
2010-11-14,1
2010-11-17,10
2010-11-18,8
2010-11-19,2
2010-11-21,1
2010-11-22,2
2010-11-23,2
2010-11-24,7
2010-11-30,2
2010-12-02,10
2010-12-22,12
2011-01-03,2
2011-01-06,3
2011-01-07,2
2011-01-10,6
2011-01-13,2
2011-01-20,1
2011-02-02,7
2011-02-03,4
2011-02-04,3
2011-02-05,2
2011-02-09,1
2011-02-10,2
2011-02-14,1
2011-02-18,1
2011-02-20,1
2011-02-21,23
2011-02-22,40
2011-02-23,31
2011-03-02,8
2011-03-13,1
2011-03-17,1
2011-03-19,2
2011-03-20,8
2011-03-25,6
2011-03-26,36
2011-04-04,2
2011-04-08,1
2011-04-11,3
2011-04-12,2
2011-04-13,15
2011-04-14,22
2011-04-15,22
2011-04-18,2
2011-04-19,2
2011-04-20,2
2011-04-22,21
2011-04-23,1
2011-04-25,1
2011-04-26,3
2011-04-27,1
2011-04-28,4
2011-04-29,9
2011-04-30,7
2011-05-04,1
2011-05-08,12
2011-05-09,1
2011-05-12,11
2011-05-13,15
2011-05-16,1
2011-05-18,2
2011-05-19,15
2011-05-20,3
2011-05-27,36
2011-05-29,24
2011-05-31,7
2011-06-02,1
2011-06-11,1
2011-06-16,1
2011-06-17,5
2011-06-29,13
2011-07-09,1
2011-07-13,3
2011-07-15,5
2011-07-16,72
2011-07-17,151
2011-07-30,27
2011-07-31,33
2011-08-02,1
2011-08-10,5
2011-08-18,171
2011-08-19,207
2011-08-20,69
2011-08-21,16
2011-09-16,45
2011-09-30,30
2011-10-05,10
